,gx_mean,gx_median,gx_variance,gy_mean,gy_median,gy_variance,gz_mean,gz_median,gz_variance,ax_mean,ax_median,ax_variance,ay_mean,ay_median,ay_variance,az_mean,az_median,az_variance,wx_mean,wx_median,wx_variance,wy_mean,wy_median,wy_variance,wz_mean,wz_median,wz_variance,label
25,1.25566,1.1684999999999999,0.2660800657142857,9.58838,9.598500000000001,0.027124811836734677,1.3424800000000001,1.2475,0.5781188261224491,0.07811999999999998,0.061,0.7468020669387756,0.07370000000000006,0.021000000000000005,1.4490172346938777,0.04342000000000001,-0.28500000000000003,1.3661194730612245,-0.022320000000000007,0.044000000000000004,0.092754426122449,-0.03545999999999999,-0.032,0.16692686571428578,0.018979999999999993,0.026000000000000002,0.05705091795918367,0.0
26,1.30436,1.346,0.1801455412244898,9.530180000000001,9.5735,0.0179064363265306,1.788640000000001,1.7405,0.25639562285714285,0.08077999999999998,0.11000000000000001,0.6183206240816325,0.011720000000000001,-0.38,2.2920973077551023,-0.0092,-0.1385,1.5285928163265308,0.036520000000000004,0.059,0.1143556424489796,0.00491999999999999,-0.037500000000000006,0.19894889142857142,-0.014760000000000002,0.0055,0.05680602285714284,0.0
27,1.08292,0.99,0.22107889142857146,9.577279999999998,9.585,0.01136722612244898,1.6789199999999997,1.7425000000000002,0.23166619755102041,-0.026419999999999996,-0.0955,0.7501182893877552,0.08279999999999997,-0.365,2.9767855102040826,-0.04130000000000001,-0.14750000000000002,1.8753962551020409,0.02074,0.07,0.21940517591836736,0.006580000000000006,-0.045000000000000005,0.23289910571428565,-0.004720000000000009,0.008,0.06889330775510204,0.0
28,0.6632200000000001,0.6245,0.14769576693877548,9.638880000000002,9.675,0.00956712816326532,1.5481399999999998,1.384,0.2770099187755103,-0.010659999999999977,0.044,0.8291235351020407,0.18575999999999993,-0.171,2.903068512653061,-0.17382,-0.2985,2.1237191302040817,-0.005059999999999994,0.0955,0.25731238408163265,-0.000779999999999989,-0.04,0.22179282816326532,0.036379999999999996,0.034,0.06496309755102042,0.0
29,0.64998,0.6415,0.1102690812244898,9.646739999999998,9.664,0.004967257551020423,1.55988,1.5394999999999999,0.1457252097959184,0.029919999999999992,0.044,0.5585205240816327,0.17215999999999998,-0.335,3.2386739330612246,-0.18148000000000003,-0.366,1.851385928163265,-0.02676000000000001,0.022,0.1324162269387755,-0.038220000000000004,-0.033,0.15938172612244902,0.015539999999999997,-0.028,0.04078886571428573,0.0
30,0.82446,0.815,0.04298241673469389,9.627080000000005,9.6305,0.0039357893877551035,1.6325999999999998,1.6775,0.10282069387755102,-0.008820000000000012,-0.079,0.46464549755102036,0.12119999999999999,-0.0365,3.106176857142857,-0.12882000000000002,-0.41700000000000004,1.6924634975510202,-0.05866,0.0165,0.10574108612244895,-0.05990000000000001,-0.022000000000000002,0.116527193877551,0.00578,-0.0165,0.03640303224489796,0.0
31,0.7406200000000003,0.78,0.07447966897959184,9.6891,9.702,0.0057890306122449,1.10436,1.1865,0.45486390857142855,-0.03704000000000001,-0.0895,0.6290845289795918,0.11704,0.02550000000000001,2.9924342432653064,-0.13834000000000002,-0.30200000000000005,1.4321965963265306,-0.03042,0.0125,0.14496751387755108,-0.019899999999999994,0.0115,0.1696706632653061,0.014379999999999995,0.002,0.056667546530612255,0.0
32,0.7397799999999998,0.8294999999999999,0.09756588938775512,9.7145,9.7075,0.0030470306122448937,0.9177599999999998,1.0739999999999998,0.31642018612244904,-0.11826,0.04100000000000001,1.2204001963265307,0.1,-0.31,2.944200612244898,-0.05106,-0.256,2.096773322857143,0.048240000000000005,0.035500000000000004,0.1828651248979592,0.0928,0.0635,0.3936035510204083,0.022119999999999997,-0.0005,0.11173614857142855,0.0
33,0.8330999999999997,0.8395,0.0952912755102041,9.69166,9.692,0.0021222697959183585,1.1719799999999996,1.2185000000000001,0.07991691795918367,0.06046,0.093,2.1393620902040817,0.12358000000000001,-0.041,2.7742169016326534,-0.05061999999999999,-0.47050000000000003,2.368267546530613,0.027339999999999982,0.034,0.15507953510204084,-0.03176000000000001,0.11649999999999999,0.783734798367347,0.007139999999999995,-0.0165,0.0994284085714286,0.0
34,0.6891799999999999,0.646,0.11762929346938769,9.698,9.706,0.0016487755102040755,1.2039000000000002,1.1915,0.07793674489795917,0.05705999999999998,-0.051500000000000004,1.5933178126530614,0.13512000000000002,-0.0205,2.8225879853061224,0.005199999999999994,-0.3945,1.6692755102040813,-0.010139999999999996,-0.0205,0.08901293918367349,0.01906000000000005,0.259,0.6046076902040818,0.004919999999999996,0.0035,0.038398238367346925,0.0
35,0.4965200000000001,0.508,0.025193846530612247,9.695260000000001,9.699,0.0016146453061224519,1.3429399999999998,1.3359999999999999,0.0969043432653061,-0.10007999999999997,-0.08099999999999999,0.5767164424489793,0.15026000000000006,0.036500000000000005,2.776141012653061,0.01984000000000001,-0.3575,1.1925592799999998,-0.007440000000000001,-0.019,0.060552904489795924,0.23467999999999997,0.299,0.09968193632653063,0.03734,0.028999999999999998,0.017109290204081633,0.0
